BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT
4285.08000000,302.00000000,,,
4108.37000000,293.96000000,,,
4139.98000000,290.91000000,,,
4086.29000000,299.10000000,,,
4016.00000000,323.29000000,,,
4040.00000000,309.80000000,,,
4114.01000000,315.74000000,,,
4316.01000000,323.42000000,,,
4280.68000000,327.24000000,,,
4337.44000000,330.79000000,,,
4310.01000000,348.13000000,,,
4386.69000000,346.00000000,,,
4587.48000000,374.70000000,,,
4555.14000000,385.93000000,,,
4724.89000000,384.79000000,,,
4834.91000000,388.46000000,,,
4472.14000000,343.14000000,,,
4509.08000000,341.77000000,,,
4100.11000000,283.77000000,,,
4366.47000000,312.09000000,,,
4619.77000000,335.00000000,,,
4691.61000000,334.49000000,,,
4282.80000000,302.99000000,,,
4258.81000000,296.74000000,,,
4130.37000000,293.50000000,,,
4208.47000000,297.30000000,,,
4163.72000000,293.96000000,,,
3944.69000000,276.91000000,,,
3189.02000000,215.21000000,,,
3700.00000000,253.00000000,,,
3714.95000000,249.31000000,,,
3699.99000000,257.55000000,,,
4035.01000000,294.57000000,,,
3910.04000000,284.00000000,,,
3900.00000000,282.00000000,,,
3609.99000000,257.00000000,,,
3595.87000000,264.00000000,,,
3780.00000000,285.93000000,,,
3660.02000000,282.00000000,,,
3920.75000000,294.42000000,,,
3882.35000000,287.90000000,,,
4193.00000000,309.74000000,,,
4174.50000000,302.44000000,,,
4174.69000000,292.22000000,,,
4378.51000000,304.36000000,,,
4378.48000000,303.95000000,,,
4380.00000000,296.50000000,,,
4310.00000000,292.48000000,,,
4208.59000000,291.99000000,,,
4292.43000000,294.81000000,,,
4369.00000000,310.80000000,,,
4423.00000000,311.01000000,,,
4640.00000000,311.07000000,,,
4786.95000000,297.19000000,,,
4783.06000000,298.64000000,,,
4821.43000000,304.01000000,,,
5430.00000000,303.99000000,,,
5649.98000000,337.96000000,,,
5869.99000000,342.00000000,,,
5709.99000000,337.96000000,,,
5760.02000000,335.19000000,,,
5595.00000000,315.19000000,,,
5512.06000000,309.70000000,,,
5683.90000000,308.66000000,,,
6010.01000000,304.51000000,,,
6024.97000000,298.94000000,,,
5950.02000000,293.79000000,,,
5915.93000000,281.09000000,,,
5477.03000000,297.38000000,,,
5689.99000000,294.49000000,,,
5861.77000000,294.71000000,,,
5768.83000000,296.33000000,,,
5719.64000000,291.87000000,,,
6169.98000000,305.00000000,,,
6120.50000000,307.25000000,,,
6463.00000000,304.90000000,,,
6753.98000000,287.01000000,,,
7019.98000000,283.12000000,,,
7115.04000000,304.08000000,,,
7357.09000000,298.04000000,,,
7345.01000000,295.53000000,,,
6960.12000000,297.97000000,1.57100000,,
7064.04000000,291.78000000,1.80000000,,
7303.00000000,303.02000000,1.98890000,,
7079.99000000,317.87000000,1.99000000,,
6506.98000000,293.50000000,1.71330000,,
6245.05000000,310.02000000,1.65500000,,
5811.03000000,305.24000000,1.49000000,,
6465.99000000,312.99000000,1.68000000,,
6574.99000000,335.61000000,1.59110000,,
7240.06000000,331.33000000,1.55320000,,
7864.50000000,331.49000000,1.55990000,,
7699.19000000,331.23000000,1.50410000,,
7761.94000000,346.66000000,1.66990000,,
8038.00000000,354.15000000,1.60000000,,
8212.00000000,367.42000000,1.64000000,,
8119.51000000,362.12000000,1.58740000,,
8205.92000000,380.65000000,1.61580000,,
8019.99000000,405.00000000,1.57000000,,
8138.00000000,469.00000000,1.72920000,,
8700.01000000,461.82000000,1.87000000,,
9128.02000000,462.84000000,1.83880000,,
9650.00000000,472.31000000,1.95320000,,
9896.80000000,466.17000000,1.92490000,,
9687.88000000,421.70000000,1.75650000,,
9838.96000000,427.43000000,1.95000000,,
10782.99000000,457.51000000,2.05270000,,
10890.01000000,457.63000000,2.07970000,,
11165.41000000,460.30000000,2.26170000,,
11579.00000000,466.67000000,2.55000000,,
11699.99000000,452.26000000,2.61200000,,
13550.05000000,411.01000000,2.51340000,,
16599.00000000,406.33000000,2.66250000,,
15880.00000000,442.56000000,2.79000000,,
14656.07000000,460.00000000,2.65000000,,
14899.98000000,427.35000000,2.46190000,,
16587.97000000,508.70000000,2.68700000,,
16349.99000000,620.00000000,2.55470000,,
16033.29000000,683.99000000,2.71900000,,
16334.98000000,679.76000000,3.15190000,,
17539.83000000,674.95000000,4.12000000,,
19102.66000000,682.81000000,4.63780000,,
18860.02000000,707.64000000,5.99900000,,
18856.25000000,784.00000000,6.00000000,,
17295.20000000,798.00000000,5.69990000,,
16488.98000000,790.21000000,5.15020000,,
15492.64000000,782.41000000,5.15960000,,
13326.61000000,635.97000000,4.29120000,,
13300.00000000,640.34000000,4.40000000,,
13500.00000000,658.00000000,5.18100000,,
13699.34000000,714.95000000,6.46310000,,
15689.01000000,750.00000000,9.25400000,,
15459.99000000,739.89000000,10.07310000,,
14182.11000000,707.89000000,9.25000000,,
14378.90000000,733.99000000,8.70940000,,
12440.01000000,681.06000000,7.59470000,,
13716.36000000,733.98000000,8.53000000,,
13380.00000000,754.99000000,8.45000000,,
14675.11000000,855.28000000,8.71500000,,
14919.51000000,934.03000000,9.30400000,,
15059.54000000,940.00000000,9.14300000,,
16960.39000000,959.30000000,14.89080000,,
17069.79000000,1004.11000000,22.60000000,,
16150.03000000,1123.09000000,18.59400000,,
14902.54000000,1133.18000000,17.99710000,,
14400.00000000,1291.00000000,17.39900000,,
14907.09000000,1247.00000000,17.50000000,,
13238.78000000,1138.93000000,21.20240000,,
13740.01000000,1253.87000000,22.19990000,,
14210.00000000,1388.02000000,22.02460000,,
13474.99000000,1347.00000000,20.45410000,,
13539.93000000,1271.00000000,19.33960000,,
10900.00000000,1000.00000000,13.19960000,,
10988.79000000,1000.00000000,14.19980000,,
10961.97000000,994.00000000,14.13970000,,
11474.98000000,1032.50000000,14.94470000,,
12799.94000000,1152.75000000,16.17120000,,
11530.00000000,1049.00000000,14.13340000,,
10760.05000000,993.00000000,12.91000000,,
10799.18000000,980.00000000,13.10220000,,
11349.99000000,1061.00000000,13.80000000,,
11175.27000000,1056.52000000,13.19050000,,
11089.00000000,1051.03000000,13.13440000,,
11491.00000000,1118.99000000,13.39940000,,
11879.95000000,1251.96000000,13.77390000,,
11251.00000000,1177.01000000,12.81500000,,
10237.51000000,1085.50000000,11.47490000,,
10285.10000000,1124.81000000,11.31310000,,
9224.52000000,1041.94000000,9.51380000,,
8873.03000000,922.30000000,9.74840000,,
9199.96000000,971.00000000,9.72520000,,
8184.81000000,823.56000000,8.35110000,,
6939.99000000,697.92000000,6.73150000,,
7652.14000000,779.25000000,8.26300000,,
